A42,Actinomycosis - oral/cervical,infant [n],child,adult,elderly,male,female,mozambique,africa,asia,soft tissue swelling [c],abscess [c],mass lesion [c],facial pain [c],leukocytosis [c],trismus [c],sinusitis [r],skin discoloration [r],tonsillitis [r],lymphadenopathy [r],recent dental work [c],poor oral hygiene [c],periodontal disease [c],draining cutaneous fistula in facial region [r],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42,Actinomycosis - periapical,infant [n],child,adult,elderly,male,female,mozambique,africa,asia,infection at angle of jaw [a],abscess [p],discoloration of overlying skin [c],mandibular periostitis [r],osteomyelitis [r],sinusitis [r],draining cutaneous fistula from sinus [r],mass lesion [r],tonsillitis [r],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42,Actinomycosis - thoracic,infant [n],child,adult,elderly,male,female,mozambique,africa,asia,fever [c],chest pain [c],weight loss [c],hemoptysis [p],productive cough [p],mass lesion on X ray [c],pneumonitis [c],pleural thickening [c],pleural effusion [c],pleural empyema [c],mediastinal involvement [r],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42,Actinomycosis - abdominal,infant [n],child,adult,elderly,male,female,mozambique,africa,asia,fever [c],abdominal pain [c],abdominal fullness [c],change in bowel habits [c],weight loss [c],mass lesion on abdominal exam [c],appendicitis [c],history of typhoid fever [c],history of pancreatitis [p],history of bowel surgery [p],history of dysentery [p],history of trauma [p],diverticulitis [p],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A42,Actinomycosis - pelvic,infant [n],child,adult,elderly,male,female,mozambique,africa,asia,current or prior longstanding IUD [a],chronic fever [c],abdominal pain [c],vaginal bleeding [c],weight loss [c],mass on abdominal exam [c],endometritis [c],frozen pelvis [c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenovirus - pharyngoconjunctival fever,infant [c],child [c],adult [g],elderly [g],male,female,mozambique,africa,asia,fever [c],flu like symptoms [c],cough [c],sore throat [c],tonsillitis [c],rhinorrhea [c],conjunctivitis - usually bilateral [c],cervical lymphadenitis [c],rales [p],ronchi [p],periauricular adenopathy [c],myocarditis [r],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenovirus - epidemic  keratoconjunctivitis,infant,child,adult,elderly,male,female,mozambique,africa,asia,conjunctivitis - usually bilateral [c],periauricular adenopathy [c],visual disturbance [c],similar symptoms in household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenovirus - hemorrhagic cystitis,infant,child [c],adult,elderly,male [c],female [i],mozambique,africa,asia,hematuria [a],urethritis [c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenovirus - infantile adnoviral enteritis,infant,child [n],adult [n],elderly [n],male,female,mozambique,africa,asia,fever [c],watery diarrhea [c],intussusception [p],encephalitis [p],meningoencephalitis [p],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A48.8,Aeromonas gastroenteritis,infant,child,adult,elderly,male,female,mozambique,africa,asia,watery diarrhea [c],vomiting [c],fever [c],abdominal pain [c],bloody stools [c],fecal leukocytes [e],hemolytic uremic syndrome [c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A48.8,Aeromonas - soft tissue infection,infant,child,adult,elderly,male,female,mozambique,africa,asia,leech use [c],fresh water exposure [c],burn [c],suppuration [c],soft tissue necrosis [c],cellulitis [c],fever [c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
